position,code,driverName,team,grid,laps,time,status,points,flLap,flTime,flAvg
1,HAM,United Kingdom Lewis Hamilton,Mercedes,1,55,,Finished,25,,,
2,VET,Germany Sebastian Vettel,Ferrari,3,55,,Finished,18,,,
3,VER,Netherlands Max Verstappen,Red Bull Racing-TAG Heuer,6,55,,Finished,15,,,
4,RIC,Australia Daniel Ricciardo,Red Bull Racing-TAG Heuer,5,55,,Finished,12,,,
5,BOT,Finland Valtteri Bottas,Mercedes,2,55,,Finished,10,,,
6,JR.,Spain Carlos Sainz Jr.,Renault,11,55,,Finished,8,,,
7,LEC,Monaco Charles Leclerc,Sauber-Ferrari,8,55,,Finished,6,,,
8,PÉR,Mexico Sergio Pérez,Force India-Mercedes,14,55,,Finished,4,,,
9,GRO,France Romain Grosjean,Haas-Ferrari,7,54,,+1 lap,2,,,
10,MAG,Denmark Kevin Magnussen,Haas-Ferrari,13,54,,+1 lap,1,,,
11,ALO,Spain Fernando Alonso,McLaren-Renault,15,54,,+1 lap1,,,,
12,HAR,New Zealand Brendon Hartley,Scuderia Toro Rosso-Honda,16,54,,+1 lap,,,,
13,STR,Canada Lance Stroll,Williams-Mercedes,20,54,,+1 lap,,,,
14,VAN,Belgium Stoffel Vandoorne,McLaren-Renault,18,54,,+1 lap,,,,
15,SIR,Russia Sergey Sirotkin,Williams-Mercedes,19,54,,+1 lap,,,,
RET,GAS,France Pierre Gasly,Scuderia Toro Rosso-Honda,17,46,,Finished,,,,
RET,OCO,France Esteban Ocon,Force India-Mercedes,9,44,,Finished,,,,
RET,ERI,Sweden Marcus Ericsson,Sauber-Ferrari,12,24,,Finished,,,,
RET,RÄI,Finland Kimi Räikkönen,Ferrari,4,6,,Finished,,,,
RET,HÜL,Germany Nico Hülkenberg,Renault,10,0,,Finished,,,,
